CID	ACT_AN
7054	Active
27882	Active
11764	Active
6528	Active
16719	Active
11796	Active
6680	Active
17279	Active
17599	Active
3014138	Active
17819	Active
95717	Active
10607	Active
65522	Active
4669250	Active
44368	Active
81829	Active
69908	Active
6724	Active
3884	Active
74867	Active
78490	Active
28308	Active
8553	Active
65275	Active
9164	Active
15529	Active
1539	Active
6527	Active
7263	Active
10680	Active
7381	Active
3220	Active
785	Active
16129778	Active
7447	Active
3286	Active
7367	Active
6914	Active
9831581	Active
3086618	Active
9882837	Active
9909677	Active
10201497	Active
60196410	Active
25099474	Active
456201	Active
61253	Active
444795	Active
5807	Active
62459	Active
2943	Active
91741	Active
10707	Active
27195	Active
16421	Active
10021362	Active
9839190	Active
9910393	Active
9885850	Active
9926621	Active
11057	Active
9161	Active
10522	Active
19539	Active
21387	Active
10229	Active
96088	Active
833466	Active
86296	Active
65067	Active
40087	Active
7551	Active
31420	Active
8433	Active
182951	Active
23662264	Active
34526	Active
12932	Active
25152	Active
7555	Active
5759	Active
38779	Active
73675	Active
61719	Active
25912	Active
25146	Active
91650	Active
91735	Active
39223	Active
3391107	Active
4933	Active
7251	Active
5372405	Active
49837	Active
176879	Active
39385	Active
31200	Active
28935	Active
25127	Active
86367	Active
93516	Active
29216	Active
5284341	Active
7693	Active
80277	Active
4130	Active
71482	Active
23661868	Active
153974	Active
86398	Active
66117	Active
11097730	Active
93379	Active
23700088	Active
20965	Active
9411	Active
7020	Active
2723630	Active
7328	Active
19587	Active
91731	Active
100524	Active
7219	Active
36870	Active
86013	Active
2763760	Active
119193	Active
50293	Active
117640	Active
70811	Active
91692	Active
21080	Active
6733	Active
2723715	Active
6872	Active
62389	Active
11488	Active
90479	Active
36679	Active
34313	Active
15969	Active
10303	Active
91664	Active
27295	Active
37125	Active
26033	Active
15629	Active
803	Active
517383	Active
93335	Active
33443	Active
38884	Active
31957	Active
72700	Active
67277	Active
21576	Active
1549133	Active
3714831	Active
6683	Active
80434	Active
79633	Active
61053	Active
23017	Active
4578030	Active
17435	Active
91673	Active
19756	Active
32184	Active
66491	Active
75557	Active
16834	Active
14869	Active
80037	Active
135414420	Active
671	Active
6772	Active
93312	Active
76767	Active
22833	Active
93098	Active
22628	Active
4373502	Active
459494	Active
92238	Active
109029	Active
5280378	Active
24743	Active
8292	Active
57351929	Active
23678979	Active
47445	Active
97354	Active
23703979	Active
5360487	Active
9690	Active
19113	Active
135565106	Active
16115	Active
30709	Active
17168	Active
3032792	Active
16422	Active
70801	Active
7210	Active
3034351	Active
18290	Active
2097895	Active
67274	Active
644213	Active
17434	Active
2361	Active
6688	Active
98282	Active
6773	Active
14385	Active
135442941	Active
2734687	Active
11907	Active
7071	Active
