CID	ACT_AN
76013	Active
3016	Active
18480	Active
8981	Active
174223	Active
31426	Active
177	Active
5280965	Active
10771	Active
8478	Active
82917	Active
6537498	Active
10208	Active
6731	Active
5889	Active
13816	Active
6450278	Active
2724411	Active
460612	Active
5371728	Active
60934	Active
108005	Active
5590	Active
5280795	Active
5281575	Active
6627	Active
10754	Active
1674	Active
158629	Active
23892	Active
16682804	Active
5035	Active
104741	Active
5702746	Active
16217238	Active
11181836	Active
11674455	Active
22078297	Active
2734225	Active
10044526	Active
2775940	Active
46226173	Active
23160059	Active
16211417	Active
18506491	Active
60196375	Active
10411334	Active
60196379	Active
2734229	Active
11074101	Active
11254899	Active
15927	Active
60196397	Active
14425	Active
21534	Active
7115	Active
75628	Active
22882	Active
13530	Active
71027	Active
66062	Active
23702994	Active
15412	Active
256687	Active
67589	Active
10308	Active
68297	Active
104677	Active
4788	Active
13109	Active
27882	Active
11764	Active
6528	Active
7571	Active
16719	Active
11796	Active
2737408	Active
17279	Active
17599	Active
17819	Active
95717	Active
135408753	Active
10607	Active
11309	Active
69908	Active
6724	Active
3884	Active
7018	Active
74867	Active
74062	Active
78490	Active
14586	Active
73848	Active
9164	Active
15529	Active
1539	Active
14589	Active
5377323	Active
70425	Active
34697	Active
26176	Active
6527	Active
7263	Active
8425	Active
10680	Active
7381	Active
6623	Active
3220	Active
10868	Active
16682746	Active
7564	Active
31357	Active
3339	Active
7813	Active
3286	Active
6439420	Active
9865514	Active
9799979	Active
9831581	Active
10483134	Active
15981450	Active
153939	Active
9931156	Active
10233356	Active
53316396	Active
9865233	Active
9882837	Active
60196402	Active
60196403	Active
9954540	Active
60196404	Active
9849616	Active
9895468	Active
53316382	Active
9872438	Active
60196406	Active
24852044	Active
10201497	Active
60196408	Active
60196411	Active
25099474	Active
44578765	Active
23674889	Active
61253	Active
3034368	Active
6537	Active
62459	Active
71245	Active
2374	Active
441325	Active
93118	Active
3117	Active
16682828	Active
2812	Active
27195	Active
18992283	Active
54687772	Active
10021362	Active
9984487	Active
9935274	Active
9839190	Active
6914152	Active
10407399	Active
10145345	Active
9888347	Active
135430996	Active
9949821	Active
5724	Active
53316393	Active
9885850	Active
9867257	Active
5591	Active
53316398	Active
3559	Active
17520	Active
2733526	Active
60560	Active
60196414	Active
22206	Active
20279	Active
12358480	Active
21387	Active
1345	Active
11285653	Active
96088	Active
833466	Active
11723708	Active
86296	Active
16760153	Active
65067	Active
3033865	Active
76302	Active
