CID	ACT_AN
6654	Inactive
7298	Inactive
2707	Inactive
5284499	Inactive
17100	Inactive
222536	Inactive
26690	Inactive
23194	Inactive
75146	Inactive
11499271	Inactive
7684	Inactive
8438	Inactive
16449	Inactive
5743	Inactive
11671	Inactive
12748	Inactive
13205	Inactive
7321	Inactive
66245	Inactive
7509	Inactive
10313079	Inactive
31432	Inactive
29096	Inactive
12342	Inactive
61100	Inactive
2734223	Inactive
7726	Inactive
8502	Inactive
10453	Inactive
11746	Inactive
6279	Inactive
6811	Inactive
7369	Inactive
11443	Inactive
5793	Inactive
7734	Inactive
12017	Inactive
6490	Inactive
61020	Inactive
7597	Inactive
54676228	Inactive
7748	Inactive
16932	Inactive
5811	Inactive
36159	Inactive
5578	Inactive
6893	Inactive
7407	Inactive
7354	Inactive
7757	Inactive
10176127	Inactive
75471	Inactive
3226	Inactive
72	Inactive
5382	Inactive
25608	Inactive
32346	Inactive
40301	Inactive
4276	Inactive
61410	Inactive
13432	Inactive
7438	Inactive
99953	Inactive
8085	Inactive
7829	Inactive
12989	Inactive
36081	Inactive
24287	Inactive
7819	Inactive
25833	Inactive
7529	Inactive
10704	Inactive
11859	Inactive
5558	Inactive
6969	Inactive
7472	Inactive
10486	Inactive
23707968	Inactive
6514	Inactive
13381	Inactive
92321	Inactive
10329304	Inactive
12089	Inactive
627458	Inactive
7858	Inactive
16097	Inactive
9253	Inactive
10797	Inactive
11899	Inactive
6365	Inactive
442495	Inactive
7834	Inactive
41022	Inactive
8112	Inactive
61032	Inactive
2723942	Inactive
3035467	Inactive
3727	Inactive
522105	Inactive
7912	Inactive
8794	Inactive
18177	Inactive
11954	Inactive
6397	Inactive
7044	Inactive
23160050	Inactive
5378708	Inactive
5364509	Inactive
8151	Inactive
517063	Inactive
7469	Inactive
62477	Inactive
15074	Inactive
5576	Inactive
7949	Inactive
15132	Inactive
18502	Inactive
24883	Inactive
22571	Inactive
2537	Inactive
7062	Inactive
24723	Inactive
8037	Inactive
5281116	Inactive
74348	Inactive
8452	Inactive
50516	Inactive
643991	Inactive
115089	Inactive
8003	Inactive
15206	Inactive
18604	Inactive
21622	Inactive
12124	Inactive
24314	Inactive
7101	Inactive
47491	Inactive
24937	Inactive
6233	Inactive
30623	Inactive
16990	Inactive
11387	Inactive
22086	Inactive
19463	Inactive
7487	Inactive
7503	Inactive
7526	Inactive
7570	Inactive
13931	Inactive
307	Inactive
7737	Inactive
7765	Inactive
61527	Inactive
7835	Inactive
14090	Inactive
7918	Inactive
7950	Inactive
8004	Inactive
8031	Inactive
8061	Inactive
14223	Inactive
8147	Inactive
7494	Inactive
8374	Inactive
8394	Inactive
8443	Inactive
31217	Inactive
7929	Inactive
26132	Inactive
8855	Inactive
27054	Inactive
5273621	Inactive
27582	Inactive
7515	Inactive
2723754	Inactive
15660	Inactive
62725	Inactive
16180	Inactive
30231	Inactive
4485	Inactive
15588	Inactive
16993	Inactive
17111	Inactive
7546	Inactive
9280	Inactive
18360	Inactive
18510	Inactive
20138	Inactive
6028739	Inactive
78392	Inactive
21058	Inactive
5758	Inactive
5784	Inactive
5817	Inactive
10660	Inactive
10721	Inactive
447	Inactive
10867	Inactive
95170	Inactive
230976	Inactive
19266	Inactive
11245	Inactive
4064	Inactive
11356	Inactive
11560	Inactive
11584	Inactive
11673	Inactive
11750	Inactive
2391	Inactive
11875	Inactive
11910	Inactive
12018	Inactive
12091	Inactive
6115	Inactive
12302	Inactive
12364	Inactive
12512	Inactive
5356785	Inactive
106729	Inactive
6264	Inactive
5329	Inactive
6319	Inactive
6332	Inactive
6358	Inactive
6366	Inactive
6403	Inactive
61207	Inactive
13032	Inactive
6534	Inactive
6564	Inactive
6570	Inactive
398	Inactive
6637	Inactive
6658	Inactive
157882	Inactive
6828	Inactive
6894	Inactive
7589	Inactive
6974	Inactive
6996	Inactive
7046	Inactive
7098	Inactive
7102	Inactive
13610	Inactive
2482	Inactive
7236	Inactive
7250	Inactive
7262	Inactive
7280	Inactive
7301	Inactive
7374	Inactive
7423	Inactive
7499	Inactive
7838	Inactive
54891	Inactive
11659	Inactive
54960	Inactive
91604	Inactive
8809	Inactive
4685	Inactive
440917	Inactive
6428	Inactive
2879	Inactive
6563	Inactive
10452	Inactive
7923	Inactive
1091	Inactive
11733	Inactive
8496	Inactive
3024	Inactive
16760658	Inactive
6942	Inactive
8146	Inactive
31261	Inactive
13360	Inactive
7453	Inactive
3305	Inactive
8148	Inactive
8071	Inactive
